dataset_nombre,dataset_muestras,dataset_caracteristicas,dataset_clases,dataset_desbalanceado,prep_categoricas,prep_numericas,prep_encoding,prep_escalado,trans_metodo,trans_parametros,trans_resolucion,trans_tiempo_seg,lote,total_folds,fold_actual,estado,valido,error,ruta_salida
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_TINTO_TRAIN,"{'metodo': 'tinto', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",20x20,0.66527,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_TINTO_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_TINTO_TEST,"{'metodo': 'tinto', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",20x20,0.06355,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_TINTO_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_IGTD_TRAIN,"{'metodo': 'igtd', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'scale': [3, 3]}",3x3,0.195389,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_IGTD_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_IGTD_TEST,"{'metodo': 'igtd', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'scale': [3, 3]}",3x3,0.060606,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_IGTD_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_REFINED_TRAIN,"{'metodo': 'refined', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'n_processors': 8}",3x3,14.904854,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_REFINED_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_REFINED_TEST,"{'metodo': 'refined', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'n_processors': 8}",3x3,0.085866,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_REFINED_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_BARGRAPH_TRAIN,"{'metodo': 'bargraph', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",5x5,0.128136,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_BARGRAPH_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_BARGRAPH_TEST,"{'metodo': 'bargraph', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",5x5,0.063231,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_BARGRAPH_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_DISTANCEMATRIX_TRAIN,"{'metodo': 'distancematrix', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",5x5,0.166812,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_DISTANCEMATRIX_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_DISTANCEMATRIX_TEST,"{'metodo': 'distancematrix', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",5x5,0.044015,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_DISTANCEMATRIX_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_COMBINATION_TRAIN,"{'metodo': 'combination', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",5x5,0.196095,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_COMBINATION_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_COMBINATION_TEST,"{'metodo': 'combination', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",5x5,0.073075,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_COMBINATION_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_SUPERTML_TRAIN,"{'metodo': 'supertml', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",224x224,0.928403,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_SUPERTML_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_SUPERTML_TEST,"{'metodo': 'supertml', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",224x224,0.15982,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_SUPERTML_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_FEATUREWRAP_TRAIN,"{'metodo': 'featurewrap', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'size': (3, 3)}",3x3,0.217052,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_FEATUREWRAP_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_FEATUREWRAP_TEST,"{'metodo': 'featurewrap', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'size': (3, 3)}",3x3,0.064383,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_FEATUREWRAP_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_BIE_TRAIN,"{'metodo': 'bie', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",32x5,0.430793,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_BIE_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_BIE_TEST,"{'metodo': 'bie', 'problema': 'classification', 'semilla': 1, 'numero_features': 6}",32x5,0.064578,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_BIE_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_FOTOMICS_TRAIN,"{'metodo': 'fotomics', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'image_dim': 3}",3x3,0.449227,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_FOTOMICS_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_FOTOMICS_TEST,"{'metodo': 'fotomics', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'image_dim': 3}",3x3,0.081511,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_FOTOMICS_TEST
Cryotherapy_Original_FOLD1_TRAIN,72,6,2,False,0,6,False,True,EXP_DEEPINSIGHT_TRAIN,"{'metodo': 'deepinsight', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'image_dim': 3}",3x3,0.195593,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_DEEPINSIGHT_TRAIN
Cryotherapy_Original_FOLD1_TEST,18,6,2,False,0,6,False,True,EXP_DEEPINSIGHT_TEST,"{'metodo': 'deepinsight', 'problema': 'classification', 'semilla': 1, 'numero_features': 6, 'image_dim': 3}",3x3,0.065631,Cryotherapy_Original_LOTE_01_FOLD_1,5,1,COMPLETADO,True,Ninguno,D:\EXP_TINTO\Image\Experimentos\Cryotherapy_Original_LOTE_01\FOLD_1\Imagenes\EXP_DEEPINSIGHT_TEST
